COIL,CLUSTER,DIF_TIPO_1_max,DIF_TIPO_2_max,DIF_TIPO_3_max,DIF_TIPO_4_max,DIF_TIPO_5_max,DIF_TIPO_6_max
240627,0,0,0,0,0,0,0
243941,0,0,0,0,0,0,0
256141,1,0,0,0,0,0,0
297712,0,0,0,0,0,0,0
311524,2,0,0,0,0,0,0
342557,0,0,0,0,0,0,0
352947,5,0,0,0,0,0,0
355723,5,0,0,0,0,0,0
359413,0,0,0,0,0,0,0
360028,5,0,0,0,0,0,0
363222,5,0,0,0,0,0,0
364611,1,0,0,0,0,0,0
367736,4,0,0,1,0,0,0
371010,1,0,0,0,0,0,0
371166,1,0,0,0,0,0,0
374524,5,0,0,0,0,0,0
376144,0,0,0,0,0,0,0
380522,5,0,0,0,0,0,0
381224,5,0,0,0,0,0,0
381242,5,0,0,0,0,0,0
381326,4,1,0,1,1,0,0
381433,0,0,0,0,0,0,0
381652,5,0,0,0,0,0,0
381915,3,0,0,0,0,0,0
382125,3,0,0,0,1,0,0
383325,3,0,0,1,0,0,0
384143,5,0,0,0,0,0,0
384144,5,0,0,0,0,0,0
384413,3,0,0,0,1,0,0
384515,5,0,0,0,0,0,0
384717,5,0,0,0,0,0,0
384912,3,0,0,0,0,0,0
384914,3,0,0,0,0,0,0
384930,5,0,0,0,0,0,0
385011,5,0,1,0,1,0,0
385021,5,0,0,1,1,0,0
385022,5,0,0,0,0,0,0
386010,5,0,0,0,0,0,0
386013,4,0,0,1,1,0,0
386112,3,0,0,0,0,0,0
386222,5,0,0,0,0,0,0
386223,5,0,0,0,0,0,0
386229,5,0,0,0,0,0,0
386910,3,0,0,0,0,0,0
386940,3,0,0,0,0,0,0
386941,5,0,0,0,0,0,0
387131,5,0,0,0,0,0,0
387133,5,0,0,0,0,0,0
387434,5,0,0,0,0,0,0
387721,5,0,0,0,0,0,0
387733,5,0,0,0,0,0,0
387823,4,0,0,0,0,0,0
388740,5,0,0,0,0,0,0
388741,5,0,0,0,0,0,0
388742,5,0,0,0,0,0,0
388810,1,0,0,0,0,0,0
388821,5,0,0,0,0,0,0
388822,5,0,0,0,0,0,0
388823,5,0,0,0,0,0,0
388824,3,0,0,0,0,0,0
388828,3,0,0,0,0,0,0
388912,3,0,0,0,0,0,0
388913,3,0,0,1,0,0,0
389110,5,0,0,1,1,0,0
389410,3,0,0,0,0,0,0
389411,3,0,0,0,0,0,0
389412,3,0,0,0,0,0,0
389413,3,0,0,0,0,0,0
389414,3,0,0,0,0,0,0
389416,5,0,0,0,0,0,0
389418,3,0,0,0,0,0,0
389435,3,0,0,0,0,0,0
389523,4,0,1,1,0,0,0
389527,5,0,0,0,0,0,0
389528,4,0,0,1,0,0,0
389612,3,0,0,0,0,0,0
389615,3,0,0,0,0,0,0
389629,3,0,0,0,0,0,0
389637,3,0,0,0,0,0,0
389639,5,0,0,0,0,0,0
389712,4,0,0,1,0,0,0
389713,4,0,0,0,0,0,0
389812,3,0,0,0,0,0,0
389813,3,0,0,0,0,0,0
389814,3,0,0,0,0,0,0
389815,3,0,0,0,0,0,0
389816,5,0,0,0,0,0,0
389817,5,0,0,0,0,0,0
389818,5,0,0,0,0,0,0
389819,5,0,0,0,0,0,0
389911,5,0,0,0,1,0,0
389916,4,0,1,1,1,0,0
389928,4,0,0,0,0,0,0
389929,4,0,0,0,0,0,0
389931,5,0,0,0,0,0,0
389934,5,0,0,0,0,0,0
389938,5,0,0,0,0,0,0
389940,5,0,0,0,0,0,0
389942,5,0,0,0,0,0,0
389957,5,0,0,0,0,0,0
389962,5,0,0,0,0,0,0
389963,5,0,0,0,0,0,0
390015,4,0,0,0,1,0,0
390020,4,0,0,1,0,0,0
390038,4,0,0,0,0,0,0
390039,4,0,0,0,0,0,0
390048,4,0,0,0,0,0,0
390055,3,0,0,0,0,0,0
390110,3,0,0,0,0,0,0
390111,3,0,0,0,0,0,0
390112,3,0,0,0,0,0,0
390113,3,0,0,0,0,0,0
390116,3,0,0,0,0,0,0
390119,3,0,0,0,0,0,0
390120,5,0,0,0,0,0,0
390123,5,0,0,0,0,0,0
390124,5,0,0,0,0,0,0
390125,5,0,0,0,0,0,0
390318,4,0,0,1,1,0,0
390420,5,0,0,0,0,0,0
390540,5,0,0,0,0,0,0
390542,3,0,0,0,0,0,0
390547,3,0,0,0,0,0,0
390550,3,0,0,0,0,0,0
390552,3,0,0,0,0,0,0
390617,5,0,0,0,0,0,0
390620,1,0,0,0,0,0,0
390621,3,0,0,0,0,0,0
390722,3,0,0,0,0,0,0
390724,5,0,0,0,0,0,0
390815,1,0,0,0,0,0,0
390820,4,1,0,1,1,0,0
390824,4,1,0,1,1,0,0
390825,4,0,0,1,1,0,0
390826,4,1,0,1,1,0,0
390846,3,0,0,0,0,0,0
391012,3,1,0,0,1,0,0
391221,3,0,0,1,1,0,0
391227,3,0,0,0,0,0,0
391614,4,0,0,1,0,0,0
391617,1,0,0,0,0,0,0
391618,4,0,0,1,1,0,0
391619,5,0,0,0,1,0,0
391623,4,0,0,1,0,0,0
391625,4,0,0,1,0,0,0
391629,4,0,0,0,1,0,0
391631,4,0,0,1,1,0,0
391928,5,0,0,0,0,0,0
391939,4,0,1,1,1,0,0
391942,4,0,0,1,0,0,0
391943,4,0,0,0,0,0,0
391945,4,0,0,0,0,0,0
392214,3,0,0,1,0,0,0
392216,3,0,0,1,0,0,0
392220,3,0,0,0,1,0,0
392235,1,0,0,0,0,0,0
392236,1,0,0,0,0,0,0
392312,3,0,0,0,0,0,0
392314,3,0,0,1,0,0,0
392315,3,0,0,1,0,0,0
392316,3,0,0,0,1,0,0
392323,3,0,0,1,1,0,0
392324,1,0,1,1,0,1,0
392327,3,0,0,0,0,0,0
392413,1,0,0,1,1,0,0
392527,3,0,0,1,0,0,0
392610,3,0,0,0,0,0,0
392615,4,0,0,0,0,0,0
392620,5,0,0,0,0,0,0
392622,4,0,0,0,0,0,0
392624,4,0,0,0,0,0,0
392625,4,0,0,0,0,0,0
392628,4,0,0,0,0,0,0
392629,4,0,0,0,0,0,0
392630,4,0,0,0,0,0,0
392631,0,0,0,0,0,0,0
