COIL,MT_FROM,MT_TO,DATE,DIF_TIPO_1,DIF_TIPO_2,DIF_TIPO_3,DIF_TIPO_4,DIF_TIPO_5,DIF_TIPO_6
389523,0.000000,599.000000,"2019-03-01","0","0","1","0","0","0"
389523,600.000000,1457.000000,"2019-03-01","0","1","1","0","0","0"
389528,0.000000,1399.000000,"2019-03-01","0","0","1","0","0","0"
389528,1400.000000,1539.000000,"2019-03-01","0","0","1","0","1","0"
389712,0.000000,1374.000000,"2019-03-01","0","0","1","0","0","0"
389916,3.000000,790.000000,"2019-03-01","0","1","1","1","0","0"
390020,1.000000,1492.000000,"2019-03-01","0","0","1","0","0","0"
390318,0.000000,1396.000000,"2019-03-01","0","0","1","1","0","0"
389110,0.000000,2800.000000,"2019-03-04","0","0","1","1","0","0"
391221,3.000000,3029.000000,"2019-03-07","0","0","1","1","0","0"
391629,0.000000,1375.000000,"2019-03-07","0","0","0","1","0","0"
391631,0.000000,1129.000000,"2019-03-07","0","0","1","1","0","0"
391939,0.000000,600.000000,"2019-03-07","0","1","1","1","0","0"
391939,601.000000,1429.000000,"2019-03-07","0","0","1","1","0","0"
391942,0.000000,907.000000,"2019-03-07","0","0","1","0","0","0"
392214,0.000000,1364.000000,"2019-03-07","0","0","1","0","0","0"
392216,0.000000,1411.000000,"2019-03-07","0","0","1","0","0","0"
392314,191.000000,2124.000000,"2019-03-07","0","0","1","0","0","0"
392315,2.000000,1736.000000,"2019-03-07","0","0","1","0","0","0"
392323,680.000000,2567.000000,"2019-03-07","0","0","1","1","0","0"
392324,0.000000,2575.000000,"2019-03-07","0","1","1","0","0","0"
392324,482.000000,483.000000,"2019-03-07","0","1","1","0","1","0"
392527,2.000000,2148.000000,"2019-03-07","0","0","1","0","0","0"
392633,0.000000,1390.000000,"2019-03-07","0","0","1","1","0","0"
392634,0.000000,400.000000,"2019-03-07","0","0","1","1","0","0"
392634,401.000000,1000.000000,"2019-03-07","0","0","1","0","0","0"
392824,8.000000,2719.000000,"2019-03-07","0","0","1","1","0","0"
393212,1.000000,1388.000000,"2019-03-07","0","0","1","0","0","0"
393213,76.000000,714.000000,"2019-03-07","0","0","0","1","0","0"
393215,6.000000,2128.000000,"2019-03-07","0","1","1","0","0","0"
393216,190.000000,2154.000000,"2019-03-07","0","1","1","0","0","0"
381326,2.000000,2123.000000,"2019-03-09","1","0","1","1","0","0"
389911,0.000000,4377.000000,"2019-03-09","0","0","0","1","0","0"
392413,0.000000,1419.000000,"2019-03-09","0","0","1","1","0","0"
392918,0.000000,1393.000000,"2019-03-09","1","0","1","1","0","0"
392929,0.000000,2149.000000,"2019-03-09","1","0","1","1","0","0"
391012,0.000000,110.000000,"2019-03-10","1","0","0","1","0","0"
391012,111.000000,1032.000000,"2019-03-10","0","0","0","1","0","0"
392316,0.000000,2083.000000,"2019-03-10","0","0","0","1","0","0"
392916,0.000000,699.000000,"2019-03-10","0","0","1","1","0","0"
392933,1.000000,2156.000000,"2019-03-10","0","0","0","1","1","0"
392941,0.000000,979.000000,"2019-03-10","0","0","0","1","0","0"
392941,980.000000,1369.000000,"2019-03-10","0","0","0","1","1","0"
392947,0.000000,1415.000000,"2019-03-10","0","0","1","0","0","0"
390015,0.000000,898.000000,"2019-03-11","0","0","0","1","0","0"
393516,0.000000,1261.000000,"2019-03-11","0","0","0","1","0","0"
393517,0.000000,1382.000000,"2019-03-11","0","0","0","1","0","0"
393532,0.000000,1404.000000,"2019-03-11","0","0","0","1","0","0"
393817,0.000000,1526.000000,"2019-03-11","0","0","0","1","0","0"
393831,2.000000,2141.000000,"2019-03-11","0","0","0","1","0","0"
393833,1.000000,2124.000000,"2019-03-11","0","0","0","1","0","0"
394628,0.000000,2172.000000,"2019-03-11","0","1","1","1","0","0"
390820,0.000000,699.000000,"2019-03-12","1","0","1","1","0","0"
390825,72.000000,845.000000,"2019-03-12","0","0","1","1","0","0"
390826,201.000000,815.000000,"2019-03-12","0","0","1","1","0","0"
390826,0.000000,200.000000,"2019-03-12","1","0","1","1","0","0"
391618,0.000000,688.000000,"2019-03-12","0","0","1","1","0","0"
393529,3.000000,1419.000000,"2019-03-12","0","0","1","1","0","0"
393530,0.000000,1422.000000,"2019-03-12","0","0","1","1","0","0"
393530,200.000000,400.000000,"2019-03-12","1","0","1","1","0","0"
393531,0.000000,1423.000000,"2019-03-12","0","0","1","1","0","0"
394311,0.000000,1048.000000,"2019-03-12","0","0","1","1","0","0"
394322,0.000000,1350.000000,"2019-03-12","0","0","1","0","0","0"
394718,190.000000,1530.000000,"2019-03-12","0","0","1","0","0","0"
394721,1.000000,1525.000000,"2019-03-12","0","0","1","1","0","0"
383325,0.000000,820.000000,"2019-03-13","0","0","1","0","0","0"
394334,0.000000,839.000000,"2019-03-13","0","0","1","1","0","0"
394334,840.000000,2177.000000,"2019-03-13","0","1","1","1","0","0"
394335,1901.000000,2165.000000,"2019-03-13","0","0","1","1","0","0"
394335,1.000000,1900.000000,"2019-03-13","0","1","1","1","0","0"
394341,0.000000,1473.000000,"2019-03-13","0","0","1","1","0","0"
394622,118.000000,1798.000000,"2019-03-13","0","1","1","0","0","0"
394626,1.000000,1473.000000,"2019-03-13","0","1","1","0","0","0"
395212,0.000000,1511.000000,"2019-03-13","0","1","1","0","0","0"
395228,0.000000,2105.000000,"2019-03-13","0","0","0","1","0","0"
395245,1.000000,995.000000,"2019-03-13","0","0","1","0","0","0"
395245,500.000000,655.000000,"2019-03-13","1","0","1","0","0","0"
395324,0.000000,1398.000000,"2019-03-13","0","0","1","1","0","0"
395325,6.000000,1359.000000,"2019-03-13","0","0","1","1","0","0"
395325,1360.000000,2060.000000,"2019-03-13","0","1","1","1","0","0"
395332,2.000000,1845.000000,"2019-03-13","0","0","1","1","0","0"
395410,0.000000,1475.000000,"2019-03-13","0","1","1","0","0","0"
386013,0.000000,887.000000,"2019-03-14","0","0","1","1","0","0"
390824,0.000000,685.000000,"2019-03-14","1","0","1","1","0","0"
393013,0.000000,746.000000,"2019-03-14","0","0","1","0","0","0"
393533,0.000000,975.000000,"2019-03-14","1","0","1","1","0","0"
394210,0.000000,666.000000,"2019-03-14","0","0","1","1","0","0"
394316,0.000000,734.000000,"2019-03-14","1","0","1","1","0","0"
